trigger.t,thisRow.t,Condition.started,Condition.stopped,Condition.duration,game.score,game.level,game.speed,game.wm_load_condition,game.speed_condition,Condition.info,participant,main_trials.thisTrialN,main_trials.thisIndex,main_trials.thisN,main_trials.thisRepN,control_condition,Images_next_cond,notes,targeted.duration,play_pretrial.started,play_pretrial.stopped,pretrial.score,pretrial.level_avg,JND,pretrial.game_speeds,pretrial.completion_rate,pretrial.weights,pretrial.optimization_parameters,expName,date,expStart,frameRate,psychopyVersion,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,info_preTrial,sub00,,,,,,,,,19.374161700019613,20.375225299969316,0,0.0,disabled,disabled,disabled,disabled,disabled,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
35.85663850000128,,,,,,,,,,first_trigger,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,,,,,,,,,,sub00,,,,,,,,,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,40.00288260006346,43.97995980014093,63.973973700078204,19.994013899937272,59,4,473,low_load,low_speed,info_play_Tetris,sub00,0,0,0,0,motor_control,Images/hand.png,,20,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,,72.97666630009189,92.96781589998864,19.991149599896744,,,,,,info_motor_control,sub00,0,0,0,0,motor_control,Images/hand.png,,20,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
,97.99942809995264,102.03777189995162,122.03209879994392,19.994326899992302,1909,6,262,low_load,high_speed,info_play_Tetris,sub00,1,2,1,0,fixation_cross,Images/crosshair.png,,20,,,,,,,,,,Tetris_Psychopy,2024-05-11_13h47.25.545,2024-05-11 13h47.39.645392 +0200,None,2024.1.1,
